date,Langchain
2024-04-07,99
2024-04-14,96
2024-04-21,98
2024-04-28,88
2024-05-05,96
2024-05-12,95
2024-05-19,92
2024-05-26,95
2024-06-02,90
2024-06-09,95
2024-06-16,90
2024-06-23,88
2024-06-30,75
2024-07-07,83
2024-07-14,92
2024-07-21,90
2024-07-28,82
2024-08-04,78
2024-08-11,76
2024-08-18,80
2024-08-25,70
2024-09-01,75
2024-09-08,72
2024-09-15,72
2024-09-22,72
2024-09-29,69
2024-10-06,66
2024-10-13,70
2024-10-20,76
2024-10-27,70
2024-11-03,75
2024-11-10,66
2024-11-17,72
2024-11-24,72
2024-12-01,71
2024-12-08,75
2024-12-15,71
2024-12-22,62
2024-12-29,58
2025-01-05,78
2025-01-12,80
2025-01-19,81
2025-01-26,83
2025-02-02,91
2025-02-09,98
2025-02-16,100
2025-02-23,90
2025-03-02,87
2025-03-09,83
2025-03-16,87
2025-03-23,89
2025-03-30,87
2025-04-06,95
